technical skills,portfolio projects
Python, SQL, Pandas, https://github.com/user/project1
SQL, Python, Airflow, https://github.com/user/project2
PySpark, Spark SQL, Delta Lake, https://github.com/user/project3
Machine Learning, Deep Learning, TensorFlow, https://github.com/user/project4
Data Engineering, ETL, ELT, https://github.com/user/project5
Cloud Platforms (AWS, GCP, Azure), https://github.com/user/project6
Data Warehousing, Data Modeling, DBT, https://github.com/user/project7
Data Visualization, Power BI, Tableau, https://github.com/user/project8
MLOps, MLflow, Kubeflow, https://github.com/user/project9
Natural Language Processing (NLP), NLTK, spaCy, https://github.com/user/project10
Computer Vision, OpenCV, TensorFlow, https://github.com/user/project11
Time Series Analysis, Forecasting, Prophet, https://github.com/user/project12
Data Cleaning, Data Wrangling, Pandas, https://github.com/user/project13
Feature Engineering, Scikit-learn, https://github.com/user/project14
Statistical Analysis, Hypothesis Testing, https://github.com/user/project15
Data Ethics, Privacy, GDPR, https://github.com/user/project16
Big Data, Hadoop, Spark, https://github.com/user/project17
Data Governance, Data Quality, Metadata Management, https://github.com/user/project18
Data Security, Encryption, Tokenization, https://github.com/user/project19
Cloud Data Engineering, AWS Glue, Databricks, https://github.com/user/project20
